Fund Holdings as of,"28/Jul/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"ABBV","ABBVIE INC","Equity","0.37","118.55","50,036.00","5,931,767.80","5,931,767.80","Health Care","US00287Y1091","New York Stock Exchange Inc.","United States","USD"
"NOVN","NOVARTIS AG","Equity","0.36","91.86","62,837.00","5,772,315.97","5,772,315.97","Health Care","CH0012005267","SIX Swiss Exchange","Switzerland","CHF"
"LLY","ELI LILLY","Equity","0.36","246.51","23,403.00","5,769,073.53","5,769,073.53","Health Care","US5324571083","New York Stock Exchange Inc.","United States","USD"
"T","AT&T INC","Equity","0.36","28.01","205,359.00","5,752,105.59","5,752,105.59","Communication","US00206R1023","New York Stock Exchange Inc.","United States","USD"
"ACN","ACCENTURE PLC CLASS A","Equity","0.36","316.31","18,067.00","5,714,772.77","5,714,772.77","Information Technology","IE00B4BNMY34","New York Stock Exchange Inc.","United States","USD"
"MRK","MERCK & CO INC","Equity","0.35","78.33","72,613.00","5,687,776.29","5,687,776.29","Health Care","US58933Y1055","New York Stock Exchange Inc.","United States","USD"
"AVGO","BROADCOM INC","Equity","0.35","477.65","11,903.00","5,685,467.95","5,685,467.95","Information Technology","US11135F1012","NASDAQ","United States","USD"
"CVX","CHEVRON CORP","Equity","0.34","101.18","54,381.00","5,502,269.58","5,502,269.58","Energy","US1667641005","New York Stock Exchange Inc.","United States","USD"
"7203","TOYOTA MOTOR CORP","Equity","0.34","89.04","61,100.00","5,440,236.13","5,440,236.13","Consumer Discretionary","JP3633400001","Tokyo Stock Exchange","Japan","JPY"
"DHR","DANAHER CORP","Equity","0.34","292.88","18,458.00","5,405,979.04","5,405,979.04","Health Care","US2358511028","New York Stock Exchange Inc.","United States","USD"
"WFC","WELLS FARGO","Equity","0.33","45.51","117,888.00","5,365,082.88","5,365,082.88","Financials","US9497461015","New York Stock Exchange Inc.","United States","USD"
"COST","COSTCO WHOLESALE CORP","Equity","0.33","422.22","12,659.00","5,344,882.98","5,344,882.98","Consumer Staples","US22160K1051","NASDAQ","United States","USD"
"MCD","MCDONALDS CORP","Equity","0.32","241.78","21,354.00","5,162,970.12","5,162,970.12","Consumer Discretionary","US5801351017","New York Stock Exchange Inc.","United States","USD"
"MDT","MEDTRONIC PLC","Equity","0.32","130.52","38,806.00","5,064,959.12","5,064,959.12","Health Care","IE00BTN1Y115","New York Stock Exchange Inc.","United States","USD"
"AZN","ASTRAZENECA PLC","Equity","0.31","114.64","44,105.00","5,056,248.10","5,056,248.10","Health Care","GB0009895292","London Stock Exchange","United Kingdom","GBP"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Equity","0.31","1,535.01","3,252.00","4,991,855.55","4,991,855.55","Information Technology","CA82509L1076","Toronto Stock Exchange","Canada","CAD"
"TXN","TEXAS INSTRUMENT INC","Equity","0.30","186.85","25,931.00","4,845,207.35","4,845,207.35","Information Technology","US8825081040","NASDAQ","United States","USD"
"ORCL","ORACLE CORP","Equity","0.30","87.18","54,655.00","4,764,822.90","4,764,822.90","Information Technology","US68389X1054","New York Stock Exchange Inc.","United States","USD"
"QCOM","QUALCOMM INC","Equity","0.29","142.44","32,471.00","4,625,169.24","4,625,169.24","Information Technology","US7475251036","NASDAQ","United States","USD"
"NOVO B","NOVO NORDISK CLASS B","Equity","0.29","91.19","50,688.00","4,622,292.06","4,622,292.06","Health Care","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"LIN","LINDE PLC","Equity","0.28","296.86","15,159.00","4,500,100.74","4,500,100.74","Materials","IE00BZ12WP82","New York Stock Exchange Inc.","United States","USD"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.28","68.73","64,661.00","4,444,150.53","4,444,150.53","Health Care","US1101221083","New York Stock Exchange Inc.","United States","USD"
"NEE","NEXTERA ENERGY INC","Equity","0.27","77.85","56,484.00","4,397,279.40","4,397,279.40","Utilities","US65339F1012","New York Stock Exchange Inc.","United States","USD"
"SAP","SAP","Equity","0.27","142.75","30,423.00","4,342,893.93","4,342,893.93","Information Technology","DE0007164600","Xetra","Germany","EUR"
"ULVR","UNILEVER PLC","Equity","0.26","56.16","75,716.00","4,252,401.02","4,252,401.02","Consumer Staples","GB00B10RZP78","London Stock Exchange","United Kingdom","GBP"
"UNP","UNION PACIFIC CORP","Equity","0.26","216.56","19,551.00","4,233,964.56","4,233,964.56","Industrials","US9078181081","New York Stock Exchange Inc.","United States","USD"
"SBUX","STARBUCKS CORP","Equity","0.26","122.41","33,912.00","4,151,167.92","4,151,167.92","Consumer Discretionary","US8552441094","NASDAQ","United States","USD"
"RY","ROYAL BANK OF CANADA","Equity","0.26","100.69","40,816.00","4,109,670.63","4,109,670.63","Financials","CA7800871021","Toronto Stock Exchange","Canada","CAD"
"INTU","INTUIT INC","Equity","0.26","523.10","7,847.00","4,104,765.70","4,104,765.70","Information Technology","US4612021034","NASDAQ","United States","USD"
"AMGN","AMGEN INC","Equity","0.25","244.25","16,686.00","4,075,555.50","4,075,555.50","Health Care","US0311621009","NASDAQ","United States","USD"
"C","CITIGROUP INC","Equity","0.25","68.10","59,739.00","4,068,225.90","4,068,225.90","Financials","US1729674242","New York Stock Exchange Inc.","United States","USD"
"LOW","LOWES COMPANIES INC","Equity","0.25","192.39","20,958.00","4,032,109.62","4,032,109.62","Consumer Discretionary","US5486611073","New York Stock Exchange Inc.","United States","USD"
"1299","AIA GROUP LTD","Equity","0.25","11.39","353,800.00","4,029,757.80","4,029,757.80","Financials","HK0000069689","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"MS","MORGAN STANLEY","Equity","0.24","96.07","40,432.00","3,884,302.24","3,884,302.24","Financials","US6174464486","New York Stock Exchange Inc.","United States","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.24","192.04","20,182.00","3,875,751.28","3,875,751.28","Industrials","US9113121068","New York Stock Exchange Inc.","United States","USD"
"6758","SONY GROUP CORP","Equity","0.24","101.13","37,400.00","3,782,117.88","3,782,117.88","Consumer Discretionary","JP3435000009","Tokyo Stock Exchange","Japan","JPY"
"BLK","BLACKROCK INC","Equity","0.23","860.71","4,351.00","3,744,949.21","3,744,949.21","Financials","US09247X1019","New York Stock Exchange Inc.","United States","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Equity","0.23","72.86","51,129.00","3,725,075.39","3,725,075.39","Financials","AU000000CBA7","Asx - All Markets","Australia","AUD"
"TGT","TARGET CORP","Equity","0.23","257.42","14,400.00","3,706,848.00","3,706,848.00","Consumer Discretionary","US87612E1064","New York Stock Exchange Inc.","United States","USD"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.23","374.23","9,801.00","3,667,828.23","3,667,828.23","Financials","US38141G1040","New York Stock Exchange Inc.","United States","USD"
"USD","USD CASH","Cash","0.23","100.00","3,635,936.00","3,635,935.85","3,635,935.85","Cash and/or Derivatives","-","-","United States","USD"
"AMAT","APPLIED MATERIAL INC","Equity","0.23","137.21","26,497.00","3,635,653.37","3,635,653.37","Information Technology","US0382221051","NASDAQ","United States","USD"
"AMT","AMERICAN TOWER REIT CORP","Equity","0.23","284.98","12,718.00","3,624,375.64","3,624,375.64","Real Estate","US03027X1000","New York Stock Exchange Inc.","United States","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.22","141.77","25,201.00","3,572,745.77","3,572,745.77","Information Technology","US4592001014","New York Stock Exchange Inc.","United States","USD"
"SIE","SIEMENS N AG","Equity","0.22","157.22","22,367.00","3,516,462.31","3,516,462.31","Industrials","DE0007236101","Xetra","Germany","EUR"
"TD","TORONTO DOMINION","Equity","0.21","66.19","51,966.00","3,439,610.02","3,439,610.02","Financials","CA8911605092","Toronto Stock Exchange","Canada","CAD"
"OR","LOREAL SA","Equity","0.21","455.29","7,414.00","3,375,473.41","3,375,473.41","Consumer Staples","FR0000120321","Nyse Euronext - Euronext Paris","France","EUR"
"GE","GENERAL ELECTRIC","Equity","0.21","13.13","254,189.00","3,337,501.57","3,337,501.57","Industrials","US3696041033","New York Stock Exchange Inc.","United States","USD"
"MMM","3M","Equity","0.21","198.28","16,781.00","3,327,336.68","3,327,336.68","Industrials","US88579Y1010","New York Stock Exchange Inc.","United States","USD"
"SAN","SANOFI SA","Equity","0.21","103.35","32,047.00","3,312,115.79","3,312,115.79","Health Care","FR0000120578","Nyse Euronext - Euronext Paris","France","EUR"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.21","97.93","33,692.00","3,299,457.56","3,299,457.56","Information Technology","US0079031078","NASDAQ","United States","USD"
"CAT","CATERPILLAR INC","Equity","0.20","211.44","15,560.00","3,290,006.40","3,290,006.40","Industrials","US1491231015","New York Stock Exchange Inc.","United States","USD"
"AXP","AMERICAN EXPRESS","Equity","0.20","170.02","19,139.00","3,254,012.78","3,254,012.78","Financials","US0258161092","New York Stock Exchange Inc.","United States","USD"
"DGE","DIAGEO PLC","Equity","0.20","48.72","66,778.00","3,253,544.16","3,253,544.16","Consumer Staples","GB0002374006","London Stock Exchange","United Kingdom","GBP"
"HSBA","HSBC HOLDINGS PLC","Equity","0.20","5.50","586,940.00","3,228,431.42","3,228,431.42","Financials","GB0005405286","London Stock Exchange","United Kingdom","GBP"
"NOW","SERVICENOW INC","Equity","0.20","583.35","5,499.00","3,207,841.65","3,207,841.65","Information Technology","US81762P1021","New York Stock Exchange Inc.","United States","USD"
"MRNA","MODERNA INC","Equity","0.20","349.32","9,167.00","3,202,216.44","3,202,216.44","Health Care","US60770K1079","NASDAQ","United States","USD"
"ISRG","INTUITIVE SURGICAL INC","Equity","0.20","972.50","3,283.00","3,192,717.50","3,192,717.50","Health Care","US46120E6023","NASDAQ","United States","USD"
"CVS","CVS HEALTH CORP","Equity","0.20","83.30","37,960.00","3,162,068.00","3,162,068.00","Health Care","US1266501006","New York Stock Exchange Inc.","United States","USD"
"TTE","TOTALENERGIES","Equity","0.19","43.32","71,958.00","3,116,930.17","3,116,930.17","Energy","FR0000120271","Nyse Euronext - Euronext Paris","France","EUR"
"DE","DEERE","Equity","0.19","353.56","8,611.00","3,044,505.16","3,044,505.16","Industrials","US2441991054","New York Stock Exchange Inc.","United States","USD"
"6861","KEYENCE CORP","Equity","0.18","517.66","5,700.00","2,950,685.68","2,950,685.68","Information Technology","JP3236200006","Tokyo Stock Exchange","Japan","JPY"
"ALV","ALLIANZ","Equity","0.18","248.14","11,846.00","2,939,507.72","2,939,507.72","Financials","DE0008404005","Xetra","Germany","EUR"
"SPGI","S&P GLOBAL INC","Equity","0.18","411.59","6,983.00","2,874,132.97","2,874,132.97","Financials","US78409V1044","New York Stock Exchange Inc.","United States","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.18","722.26","3,962.00","2,861,594.12","2,861,594.12","Communication","US16119P1084","NASDAQ","United States","USD"
"SQ","SQUARE INC CLASS A","Equity","0.18","258.61","11,034.00","2,853,502.74","2,853,502.74","Information Technology","US8522341036","New York Stock Exchange Inc.","United States","USD"
"SCHW","CHARLES SCHWAB CORP","Equity","0.18","67.85","41,931.00","2,845,018.35","2,845,018.35","Financials","US8085131055","New York Stock Exchange Inc.","United States","USD"
"CSL","CSL LTD","Equity","0.18","212.43","13,329.00","2,831,454.96","2,831,454.96","Health Care","AU000000CSL8","Asx - All Markets","Australia","AUD"
"GSK","GLAXOSMITHKLINE PLC","Equity","0.17","19.44","144,506.00","2,809,021.85","2,809,021.85","Health Care","GB0009252882","London Stock Exchange","United Kingdom","GBP"
"ZTS","ZOETIS INC CLASS A","Equity","0.17","203.27","13,621.00","2,768,740.67","2,768,740.67","Health Care","US98978V1035","New York Stock Exchange Inc.","United States","USD"
"PLD","PROLOGIS REIT INC","Equity","0.17","127.63","21,596.00","2,756,297.48","2,756,297.48","Real Estate","US74340W1036","New York Stock Exchange Inc.","United States","USD"
"RIO","RIO TINTO PLC","Equity","0.17","84.98","32,165.00","2,733,232.55","2,733,232.55","Materials","GB0007188757","London Stock Exchange","United Kingdom","GBP"
"ANTM","ANTHEM INC","Equity","0.17","379.93","7,166.00","2,722,578.38","2,722,578.38","Health Care","US0367521038","New York Stock Exchange Inc.","United States","USD"
