Series Name,"Time","Australia","United States","United Kingdom","Italy","Spain","France","Portugal","Japan","Germany"
Consumer price index (2010 = 100),"1971","10.79604578564","18.5694314826577","10.2163501941927","6.400211418762","5.56480385713096","16.2536451459642","2.05027430872426","34.7578347578348","33.4694724893987"
Consumer price index (2010 = 100),"1972","11.4464099895942","19.1770749495732","10.9387583687812","6.76819182627925","6.02514044371533","17.239104154569","2.26890235674693","36.4413364413364","35.3052518756507"
Consumer price index (2010 = 100),"1973","12.4869927159209","20.3617886272073","11.9446902163862","7.49906297020349","6.71301321083299","18.5114536592233","2.56328355532514","40.6716740050073","37.7879262693316"
Consumer price index (2010 = 100),"1974","14.4120707596254","22.612744614712","13.8610976511929","8.93586615636377","7.76563907869631","21.0381407380035","3.20622627540241","50.1165501165501","40.4279542029489"
Consumer price index (2010 = 100),"1975","16.5972944849116","24.6802610650347","17.2164934344368","10.4505403785668","9.08216980446833","23.4966425592567","3.69587107667506","55.995855995856","42.817379241652"
Consumer price index (2010 = 100),"1976","18.8085327783559","26.0980958211709","20.0674625485482","12.1868105543459","10.6828909348919","25.7583108976051","4.47724862135454","61.2449279115946","44.6356768867455"
Consumer price index (2010 = 100),"1977","21.1238293444329","27.7949115401049","23.2462021453671","14.274417147842","13.3042654851265","28.2039478083373","5.86594559277316","66.2436329102996","46.3024482389554"
Consumer price index (2010 = 100),"1978","22.8147762747138","29.9159311887723","25.1670686147586","16.0007671336392","15.9350087960018","30.8129704904186","7.10006853279454","69.0322023655357","47.5612685171675"
Consumer price index (2010 = 100),"1979","24.8959417273673","33.2828110274678","28.5448113556501","18.3686524290589","18.430467295349","34.0935455489275","8.65492850218559","71.5876715876716","49.4844664374426"
Consumer price index (2010 = 100),"1980","27.4193548387097","37.7923663165265","33.6731505455891","22.2378562869468","21.2985972458682","38.7175095461824","10.0282475844853","77.1561771561771","52.1769440619129"
Consumer price index (2010 = 100),"1981","30.0208116545265","41.6980997956942","37.6723848714629","26.2338431191814","24.3974065524456","43.872515792993","11.9376671152665","80.9462142795476","55.4871750976949"
Consumer price index (2010 = 100),"1982","33.4287200832466","44.254788345169","40.9117819493249","30.557289236041","27.9142916871139","49.1277727920604","14.5256678396546","83.1649831649832","58.3952840934829"
Consumer price index (2010 = 100),"1983","36.7845993756504","45.6764447583299","42.7975300536342","35.0328860337616","31.312600870565","53.7750382727129","18.0122293753573","84.7448847448847","60.3184829072334"
Consumer price index (2010 = 100),"1984","38.2414151925078","47.6407764689876","44.9205918254115","38.8145095180515","34.8447448096503","57.9016285699203","23.1249356395388","86.6614866614867","61.76962199465"
Consumer price index (2010 = 100),"1985","40.8168574401665","49.3299488738723","47.647898095062","42.3877699427438","37.9161190941447","61.2779302820743","27.6253741784054","88.4226884226884","63.0459249074963"
Consumer price index (2010 = 100),"1986","44.5109261186264","50.2662548449057","49.2810819308304","44.8562416131162","41.2508189228308","62.8334864241848","31.0319511961281","88.9493222826556","62.9643354074771"
Consumer price index (2010 = 100),"1987","48.309053069719","52.1082935307754","51.325715738857","46.9856951996717","43.4156708789447","64.9000158369847","34.0218275175149","89.0615557282224","63.1216871604626"
Consumer price index (2010 = 100),"1988","51.7950052029136","54.2331348364675","53.4584797484742","49.3623479415055","45.5158018003015","66.65284537824","37.4585873722112","89.6658896658896","63.9259357078278"
Consumer price index (2010 = 100),"1989","55.6971904266389","56.8509698983363","56.5378213427039","52.4523476876402","48.6069790472681","68.9845633391402","42.2106975076079","91.703358370025","65.7034345822721"
Consumer price index (2010 = 100),"1990","59.7814776274714","59.919760489111","61.0967264656926","55.838990721391","51.8742552629854","71.1881257808513","47.9642564191792","94.5264611931279","67.4751088900899"
Consumer price index (2010 = 100),"1991","61.6805411030177","62.4573407534626","65.6556315886813","59.328927249434","54.9525830836851","73.4756902285805","53.6477733943618","97.5999309332643","70.2058513887602"
Consumer price index (2010 = 100),"1992","62.3048907388137","64.3490609806525","68.6702422785278","62.455911747802","58.2082677102581","75.2124795438949","58.7761037153297","99.3179659846326","73.7561467762199"
Consumer price index (2010 = 100),"1993","63.3975026014568","66.2484245218916","70.4272239689292","65.3455810784169","60.8678447226646","76.7952981752274","62.7633452525948","100.552533885867","77.0564209213001"
Consumer price index (2010 = 100),"1994","64.6462018730489","67.9758134970226","71.9900129461809","67.9932808957477","63.7398411936343","78.0666561086769","66.1653948447715","101.251834585168","79.131594552623"
Consumer price index (2010 = 100),"1995","67.6378772112383","69.8828203523109","73.9319400776771","71.5530164769477","66.7189159215606","79.4691090816309","68.9594378180294","101.122334455668","80.4817065810455"
