Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,1693.000000,0.000000,0.000000,3124.000000,3124.000000,0
2008-02-01,3174.000000,0.000000,0.000000,3093.000000,3093.000000,0
2008-03-01,3069.000000,0.000000,0.000000,3074.000000,3074.000000,0
2008-04-01,3144.000000,0.000000,0.000000,3229.000000,3229.000000,0
2008-05-01,3244.000000,0.000000,0.000000,3249.000000,3249.000000,0
2008-06-01,3223.000000,0.000000,0.000000,2991.000000,2991.000000,0
2008-07-01,2968.000000,0.000000,0.000000,2925.000000,2925.000000,0
2008-08-01,2893.000000,0.000000,0.000000,2864.000000,2864.000000,0
2008-09-01,2848.000000,0.000000,0.000000,2544.000000,2544.000000,0
2008-10-01,2543.000000,0.000000,0.000000,2072.000000,2072.000000,0
2008-11-01,2086.000000,0.000000,0.000000,1925.000000,1925.000000,0
2008-12-01,1783.000000,0.000000,0.000000,1987.000000,1987.000000,0
2009-01-01,1380.000000,1427.000000,1246.000000,1256.000000,1256.000000,3731125
2009-02-01,1259.000000,1286.000000,1129.000000,1135.000000,1135.000000,2844347
2009-03-01,1109.000000,1260.000000,1048.000000,1208.000000,1208.000000,5386846
2009-04-01,1208.000000,1323.000000,1198.000000,1318.000000,1318.000000,9051332
2009-05-01,1304.000000,1371.000000,1272.000000,1284.000000,1284.000000,7043222
2009-06-01,1305.000000,1347.000000,1228.000000,1260.000000,1260.000000,4442993
2009-07-01,1274.000000,1371.000000,1220.000000,1357.000000,1357.000000,4534353
2009-08-01,1353.000000,1449.000000,1343.000000,1443.000000,1443.000000,4181999
2009-09-01,1432.000000,1528.000000,1387.000000,1505.000000,1505.000000,4869190
2009-10-01,1512.000000,1567.000000,1444.000000,1443.000000,1443.000000,7758777
2009-11-01,1446.000000,1522.000000,1435.000000,1500.000000,1500.000000,4735272
2009-12-01,1506.000000,1590.000000,1506.000000,1562.000000,1562.000000,6258618
2010-01-01,1562.000000,1615.000000,1494.000000,1509.000000,1509.000000,4584451
2010-02-01,1506.000000,1591.000000,1483.000000,1588.000000,1588.000000,9420803
2010-03-01,1612.000000,1735.000000,1607.000000,1695.000000,1695.000000,10092243
2010-04-01,1703.000000,1726.000000,1675.000000,1689.000000,1689.000000,7185995
2010-05-01,1689.000000,1735.000000,1546.000000,1606.000000,1606.000000,10236468
2010-06-01,1583.000000,1632.000000,1485.000000,1500.000000,1500.000000,7797112
2010-07-01,1573.000000,1573.000000,1446.000000,1528.000000,1528.000000,8796286
2010-08-01,1536.000000,1559.000000,1462.000000,1498.000000,1498.000000,3983529
2010-09-01,1496.000000,1610.000000,1474.000000,1593.000000,1593.000000,6615599
2010-10-01,1597.000000,1675.000000,1575.000000,1624.000000,1624.000000,4315450
2010-11-01,1629.000000,1678.000000,1570.000000,1628.000000,1628.000000,4214792
2010-12-01,1643.000000,1769.000000,1638.000000,1749.000000,1749.000000,2934789
2011-01-01,1749.000000,1777.000000,1731.000000,1733.000000,1733.000000,3650180
2011-02-01,1743.000000,1801.000000,1732.000000,1766.000000,1766.000000,4251086
2011-03-01,1772.199951,1777.000000,1655.000000,1767.000000,1767.000000,8794586
2011-04-01,1771.000000,1786.000000,1700.000000,1772.000000,1772.000000,6751221
2011-05-01,1772.000000,1791.000000,1712.000000,1747.000000,1747.000000,6486875
2011-06-01,1751.000000,1767.000000,1668.000000,1764.000000,1764.000000,11456313
2011-07-01,1767.000000,1810.099976,1683.000000,1695.500000,1695.500000,4277319
2011-08-01,1713.000000,1720.400024,1434.380005,1578.000000,1578.000000,13016714
2011-09-01,1578.000000,1594.458984,1463.000000,1509.000000,1509.000000,10865396
2011-10-01,1489.000000,1661.000000,1438.000000,1609.000000,1609.000000,6032727
2011-11-01,1575.000000,1611.599976,1488.000000,1591.000000,1591.000000,5015829
2011-12-01,1598.000000,1638.000000,1547.800049,1621.000000,1621.000000,5709519
2012-01-01,1621.000000,1703.000000,1621.000000,1664.000000,1664.000000,5813004
2012-02-01,1671.000000,1752.944946,1671.000000,1724.000000,1724.000000,4097514
2012-03-01,1716.000000,1777.000000,1701.000000,1743.000000,1743.000000,9738443
2012-04-01,1743.000000,1756.489990,1659.000000,1691.500000,1691.500000,5318445
2012-05-01,1690.000000,1710.000000,1584.000000,1615.000000,1615.000000,9248946
2012-06-01,1616.000000,1670.000000,1591.000000,1669.000000,1669.000000,5872074
2012-07-01,1671.000000,1713.000000,1637.000000,1702.000000,1702.000000,5535910
2012-08-01,1700.000000,1757.000000,1688.000000,1714.000000,1714.000000,9737836
2012-09-01,1708.000000,1770.000000,1689.967041,1719.000000,1719.000000,6019583
2012-10-01,1717.000000,1769.000000,1699.219971,1711.500000,1711.500000,7352072
2012-11-01,1710.000000,1752.000000,1665.349976,1732.000000,1732.000000,3800995
2012-12-01,1738.000000,1770.400024,1718.000000,1742.000000,1742.000000,4915640
2013-01-01,1742.000000,1906.550049,1742.000000,1876.000000,1876.000000,6878685
2013-02-01,1882.000000,1980.000000,1878.449951,1959.000000,1959.000000,5010877
2013-03-01,1952.000000,2048.000000,1952.000000,1997.000000,1997.000000,5467070
2013-04-01,1997.000000,2021.574951,1953.000000,2012.000000,2012.000000,10176769
2013-05-01,2013.000000,2172.000000,1999.000000,2072.000000,2072.000000,18019808
2013-06-01,2042.000000,2052.350098,1915.000000,2005.000000,2005.000000,21044521
2013-07-01,2015.000000,2124.000000,1988.000000,2113.000000,2113.000000,13371829
2013-08-01,2130.000000,2146.550049,2009.000000,2014.000000,2014.000000,8351968
2013-09-01,2019.000000,2090.000000,2009.000000,2022.000000,2022.000000,7678058
2013-10-01,2021.000000,2144.550049,2011.000000,2127.000000,2127.000000,6395899
2013-11-01,2126.000000,2151.000000,2095.495117,2111.500000,2111.500000,4494476
2013-12-01,2103.000000,2146.000000,1992.604980,2123.000000,2123.000000,7993708
2014-01-01,2123.000000,2157.000000,2035.089966,2057.000000,2057.000000,6988203
2014-02-01,2066.000000,2135.000000,2024.243042,2121.000000,2121.000000,7296837
2014-03-01,2103.000000,2145.000000,2086.000000,2131.000000,2131.000000,9794375
2014-04-01,2136.000000,2172.000000,2070.000000,2122.500000,2122.500000,5402065
2014-05-01,2132.000000,2175.300049,2082.000000,2171.000000,2171.000000,4407641
2014-06-01,2180.000000,2200.679932,2128.000000,2171.000000,2171.000000,4271462
2014-07-01,2169.000000,2206.439941,2128.500000,2167.750000,2167.750000,5353850
2014-08-01,2158.000000,2256.100098,2111.000000,2231.500000,2231.500000,4130809
2014-09-01,2229.000000,2304.179932,2210.500000,2231.500000,2231.500000,7484258
2014-10-01,2251.000000,2281.800049,2070.000000,2274.500000,2274.500000,14496077
2014-11-01,2276.000000,2374.000000,2247.000000,2364.500000,2364.500000,3113030
2014-12-01,2314.500000,2375.169922,2208.500000,2346.500000,2346.500000,7390857
2015-01-01,2346.500000,2431.659912,2260.000000,2374.250000,2374.250000,4490169
2015-02-01,2370.000000,2554.695068,2353.560059,2437.000000,2437.000000,5085538
2015-03-01,2407.000000,2565.000000,2402.000000,2497.000000,2497.000000,6869674
2015-04-01,2483.500000,2619.000000,2437.000000,2472.250000,2472.250000,5249472
2015-05-01,2470.000000,2527.000000,2410.670898,2471.500000,2471.500000,4608019
2015-06-01,2480.500000,2489.545898,2344.800049,2345.500000,2345.500000,16762764
2015-07-01,2359.000000,2442.219971,2346.000000,2406.500000,2406.500000,4196468
2015-08-01,2397.000000,2416.000000,2114.235107,2287.250000,2287.250000,5883761
2015-09-01,2244.000000,2306.500000,2163.340088,2215.500000,2215.500000,4103655
2015-10-01,2247.000000,2379.500000,2192.000000,2350.750000,2350.750000,3741765
2015-11-01,2334.500000,2419.500000,2311.899902,2401.000000,2401.000000,2825783
2015-12-01,2407.500000,2437.000000,2266.500000,2390.000000,2390.000000,3108692
2016-01-01,2390.000000,2390.000000,2199.000000,2310.000000,2310.000000,5863875
2016-02-01,2318.000000,2400.479980,2141.000000,2381.500000,2381.500000,6676823
2016-03-01,2361.000000,2466.000000,2360.500000,2435.500000,2435.500000,8513061
2016-04-01,2415.000000,2526.000000,2400.451904,2415.250000,2415.250000,6223603
2016-05-01,2415.250000,2489.500000,2371.000000,2456.000000,2456.000000,5554281
2016-06-01,2463.500000,2633.410889,2399.500000,2626.000000,2626.000000,4773188
2016-07-01,2632.000000,2779.800049,2632.000000,2751.000000,2751.000000,4111835
2016-08-01,2772.000000,2882.000000,2701.300049,2791.000000,2791.000000,4007411
2016-09-01,2798.000000,2847.000000,2703.300049,2820.500000,2820.500000,2224280
2016-10-01,2838.000000,2995.000000,2831.253906,2947.500000,2947.500000,3106656
2016-11-01,2945.000000,2956.000000,2817.000000,2931.500000,2931.500000,6149086
2016-12-01,2916.000000,3066.969971,2867.929932,3032.500000,3032.500000,3934330
2017-01-01,3032.500000,3150.000000,3006.050049,3019.000000,3019.000000,2705344
2017-02-01,3036.000000,3160.145996,2996.159912,3153.000000,3153.000000,2939943
2017-03-01,3172.000000,3244.729980,3093.419922,3155.500000,3155.500000,4495424
2017-04-01,3153.000000,3174.000000,3045.389893,3095.500000,3095.500000,4776756
2017-05-01,3095.500000,3296.419922,3060.129883,3159.000000,3159.000000,4084736
2017-06-01,3184.000000,3314.919922,3133.739014,3134.000000,3134.000000,2707426
2017-07-01,3138.000000,3218.864990,3129.000000,3167.000000,3167.000000,1494527
2017-08-01,3167.000000,3243.000000,3154.000000,3239.500000,3239.500000,1810722
2017-09-01,3236.000000,3241.729980,3100.000000,3169.000000,3169.000000,1946365
2017-10-01,3193.000000,3302.090088,3180.149902,3269.000000,3269.000000,1148660
2017-11-01,3276.000000,3331.229980,3260.000000,3277.000000,3277.000000,1194585
2017-12-01,3266.000000,3352.000000,3254.000000,3329.000000,3329.000000,2547381
2018-01-01,3329.000000,3412.000000,3275.000000,3321.000000,3321.000000,3359474
2018-02-01,3319.000000,3319.000000,3117.000000,3297.500000,3297.500000,2191357
2018-03-01,3261.000000,3321.000000,3050.000000,3131.000000,3131.000000,1591634
2018-04-01,3131.000000,3270.000000,3056.000000,3256.000000,3256.000000,2480580
