As Of,Currency,NAV,Securities In Issue,Net Assets,Fund Return Series,Benchmark Return Series
12/Mar/2019,USD,5.00,2 096 449.00,10 481 288.97,101.61,101.62
11/Mar/2019,USD,4.98,2 096 449.00,10 431 659.94,101.12,101.14
08/Mar/2019,USD,4.92,2 096 449.00,10 306 767.05,99.91,99.93
07/Mar/2019,USD,4.94,2 096 449.00,10 356 504.31,100.40,100.41
06/Mar/2019,USD,4.98,2 096 449.00,10 441 737.70,101.22,101.25
05/Mar/2019,USD,5.00,2 096 449.00,10 489 220.91,101.68,101.72
04/Mar/2019,USD,5.01,2 096 449.00,10 505 958.93,101.85,101.87
01/Mar/2019,USD,5.02,2 096 449.00,10 533 896.81,102.12,102.13
28/Feb/2019,USD,5.00,2 096 449.00,10 478 790.03,101.58,101.60
27/Feb/2019,USD,5.01,2 096 449.00,10 506 654.53,101.85,101.88
26/Feb/2019,USD,5.01,2 096 449.00,10 507 425.47,101.86,101.88
25/Feb/2019,USD,5.01,2 096 449.00,10 506 561.31,101.85,101.89
22/Feb/2019,USD,5.00,2 096 449.00,10 480 275.73,101.60,101.62
21/Feb/2019,USD,4.98,2 096 449.00,10 433 559.54,101.14,101.16
20/Feb/2019,USD,4.99,2 096 449.00,10 461 278.66,101.41,101.43
19/Feb/2019,USD,4.97,2 096 449.00,10 426 026.90,101.07,101.09
18/Feb/2019,USD,4.97,2 096 449.00,10 411 719.04,100.93,100.95
15/Feb/2019,USD,4.95,2 096 449.00,10 380 465.44,100.63,100.65
14/Feb/2019,USD,4.91,2 096 449.00,10 286 108.07,99.71,99.74
13/Feb/2019,USD,4.92,2 096 449.00,10 307 555.71,99.92,99.96
12/Feb/2019,USD,4.90,2 096 449.00,10 268 694.29,99.55,99.58
11/Feb/2019,USD,4.84,2 096 449.00,10 148 649.51,98.38,98.41
08/Feb/2019,USD,4.84,2 096 449.00,10 143 653.49,98.33,98.36
07/Feb/2019,USD,4.85,2 096 449.00,10 175 048.48,98.64,98.67
06/Feb/2019,USD,4.90,2 123 000.00,10 410 922.63,99.66,99.68
05/Feb/2019,USD,4.91,2 123 000.00,10 432 421.25,99.87,99.89
04/Feb/2019,USD,4.88,2 123 000.00,10 363 969.67,99.21,99.24
01/Feb/2019,USD,4.86,2 123 000.00,10 326 169.21,98.85,98.86
31/Jan/2019,USD,4.86,2 123 000.00,10 321 424.76,98.80,98.82
30/Jan/2019,USD,4.82,2 123 000.00,10 233 273.11,97.96,97.98
29/Jan/2019,USD,4.77,2 123 000.00,10 123 443.81,96.91,96.93
28/Jan/2019,USD,4.77,2 123 000.00,10 127 590.62,96.95,96.97
25/Jan/2019,USD,4.80,2 123 000.00,10 194 601.48,97.59,97.61
24/Jan/2019,USD,4.76,2 123 000.00,10 095 228.26,96.64,96.66
23/Jan/2019,USD,4.75,2 123 000.00,10 076 880.08,96.46,96.48
22/Jan/2019,USD,4.74,2 123 000.00,10 071 446.74,96.41,96.43
21/Jan/2019,USD,4.80,2 123 000.00,10 182 320.94,97.47,97.50
18/Jan/2019,USD,4.80,2 123 000.00,10 181 357.12,97.46,97.49
17/Jan/2019,USD,4.74,2 123 000.00,10 053 565.00,96.24,96.27
16/Jan/2019,USD,4.71,2 123 000.00,10 007 900.99,95.80,95.83
15/Jan/2019,USD,4.71,2 123 000.00,9 989 402.49,95.63,95.65
14/Jan/2019,USD,4.67,2 123 000.00,9 908 373.50,94.85,94.87
11/Jan/2019,USD,4.69,2 123 000.00,9 954 155.77,95.29,95.30
10/Jan/2019,USD,4.69,2 123 000.00,9 956 669.81,95.31,95.32
09/Jan/2019,USD,4.67,2 123 000.00,9 924 925.19,95.01,95.01
08/Jan/2019,USD,4.64,2 123 000.00,9 845 548.28,94.25,94.26
07/Jan/2019,USD,4.60,2 123 000.00,9 764 601.23,93.47,93.48
04/Jan/2019,USD,4.56,2 123 000.00,9 679 356.93,92.66,92.65
03/Jan/2019,USD,4.44,2 123 000.00,9 419 255.28,90.17,90.17
02/Jan/2019,USD,4.51,2 123 000.00,9 565 130.69,91.57,91.57
31/Dec/2018,USD,4.51,2 123 000.00,9 578 384.03,91.69,91.69
28/Dec/2018,USD,4.48,2 123 000.00,9 508 904.81,91.03,91.03
27/Dec/2018,USD,4.46,2 123 000.00,9 467 186.28,90.63,90.64
24/Dec/2018,USD,4.31,2 123 000.00,9 154 052.90,87.63,87.63
21/Dec/2018,USD,4.39,1 123 000.00,4 928 447.92,89.19,89.18
20/Dec/2018,USD,4.46,1 123 000.00,5 005 437.91,90.58,90.58
19/Dec/2018,USD,4.53,1 123 000.00,5 085 229.43,92.03,92.02
18/Dec/2018,USD,4.57,1 079 000.00,4 926 095.48,92.78,92.78
17/Dec/2018,USD,4.58,1 079 000.00,4 938 729.20,93.03,93.02
14/Dec/2018,USD,4.65,1 079 000.00,5 012 974.97,94.42,94.43
13/Dec/2018,USD,4.72,1 079 000.00,5 096 419.72,95.99,96.01
12/Dec/2018,USD,4.74,1 079 000.00,5 109 608.37,96.05,96.08
11/Dec/2018,USD,4.68,1 079 000.00,5 054 442.47,95.02,95.03
10/Dec/2018,USD,4.68,1 079 000.00,5 050 735.18,94.95,94.97
07/Dec/2018,USD,4.71,1 079 000.00,5 082 713.80,95.55,95.57
06/Dec/2018,USD,4.78,1 079 000.00,5 153 922.44,96.89,96.92
05/Dec/2018,USD,4.82,1 079 000.00,5 195 945.05,97.68,97.70
04/Dec/2018,USD,4.84,1 042 000.00,5 038 688.63,98.09,98.11
03/Dec/2018,USD,4.96,1 042 000.00,5 165 764.81,100.56,100.59
30/Nov/2018,USD,4.90,1 042 000.00,5 105 204.86,99.38,99.40
29/Nov/2018,USD,4.88,1 042 000.00,5 086 833.38,99.02,99.04
28/Nov/2018,USD,4.87,1 042 000.00,5 076 523.33,98.82,98.85
27/Nov/2018,USD,4.80,1 042 000.00,4 998 705.70,97.31,97.33
26/Nov/2018,USD,4.79,1 002 000.00,4 802 814.77,97.23,97.24
23/Nov/2018,USD,4.73,1 002 000.00,4 741 541.83,95.99,96.01
22/Nov/2018,USD,4.75,1 002 000.00,4 760 983.08,96.38,96.40
21/Nov/2018,USD,4.75,1 002 000.00,4 761 684.34,96.39,96.41
20/Nov/2018,USD,4.73,1 002 000.00,4 741 157.86,95.98,96.00
19/Nov/2018,USD,4.81,1 002 000.00,4 820 990.41,97.59,97.62
16/Nov/2018,USD,4.87,2 000.00,9 734.53,98.73,98.75
15/Nov/2018,USD,4.85,2 000.00,9 705.87,98.44,98.47
14/Nov/2018,USD,4.82,2 000.00,9 643.70,97.81,97.84
13/Nov/2018,USD,4.85,2 000.00,9 696.06,98.34,98.38
12/Nov/2018,USD,4.85,2 000.00,9 700.00,98.38,98.41
09/Nov/2018,USD,4.93,2 000.00,9 864.34,100.04,100.09
08/Nov/2018,USD,4.98,2 000.00,9 957.01,100.98,101.05
07/Nov/2018,USD,4.98,2 000.00,9 959.63,101.01,101.10
06/Nov/2018,USD,4.90,2 000.00,9 796.14,99.35,99.42
05/Nov/2018,USD,4.87,2 000.00,9 747.01,98.85,98.92
02/Nov/2018,USD,4.87,2 000.00,9 734.65,98.73,98.81
01/Nov/2018,USD,4.88,2 000.00,9 757.57,98.96,99.03
31/Oct/2018,USD,4.83,2 000.00,9 665.81,98.03,98.08
30/Oct/2018,USD,4.77,2 000.00,9 542.84,--,96.81
29/Oct/2018,USD,4.72,2 000.00,9 438.40,--,95.73
26/Oct/2018,USD,4.73,2 000.00,9 467.51,--,96.02
25/Oct/2018,USD,4.79,2 000.00,9 589.01,--,97.26
24/Oct/2018,USD,4.75,2 000.00,9 497.30,--,96.34
23/Oct/2018,USD,4.86,2 000.00,9 725.72,--,98.65
22/Oct/2018,USD,4.91,2 000.00,9 817.87,100.00,99.58
19/Oct/2018,USD,4.93,2 000.00,9 859.99,100.00,100.00
31/Aug/2018,USD,--,--,0.01,--,--
