As Of,Currency,NAV,Securities In Issue,Net Assets,Fund Return Series,Benchmark Return Series
15/Apr/2020,USD,4.76,32 063 222.00,152 678 252.38,98.62,98.66
14/Apr/2020,USD,4.87,32 063 222.00,156 236 075.84,100.92,100.95
09/Apr/2020,USD,4.78,32 063 222.00,153 274 153.01,99.00,99.03
08/Apr/2020,USD,4.71,32 223 222.00,151 759 484.81,97.54,97.56
07/Apr/2020,USD,4.60,32 070 074.00,147 452 803.45,95.22,95.25
06/Apr/2020,USD,4.56,32 070 074.00,146 348 529.22,94.51,94.53
03/Apr/2020,USD,4.31,31 070 074.00,133 824 452.92,89.20,89.23
02/Apr/2020,USD,4.37,31 070 074.00,135 767 510.98,90.50,90.53
01/Apr/2020,USD,4.32,31 070 074.00,134 176 770.15,89.44,89.49
31/Mar/2020,USD,4.50,31 019 024.00,139 444 744.83,93.10,93.14
30/Mar/2020,USD,4.54,31 019 024.00,140 826 592.80,94.02,94.07
27/Mar/2020,USD,4.43,31 019 024.00,137 377 290.66,91.72,91.77
26/Mar/2020,USD,4.55,31 019 024.00,141 037 358.41,94.17,94.21
25/Mar/2020,USD,4.33,31 019 024.00,134 349 703.69,89.70,89.75
24/Mar/2020,USD,4.23,30 814 826.00,130 428 145.33,87.66,87.70
23/Mar/2020,USD,3.89,30 814 826.00,119 908 935.54,80.59,80.65
20/Mar/2020,USD,4.01,30 814 826.00,123 471 090.88,82.98,83.04
19/Mar/2020,USD,4.11,30 304 332.00,124 585 640.26,85.14,85.20
18/Mar/2020,USD,4.08,30 304 332.00,123 519 195.13,84.41,84.45
17/Mar/2020,USD,4.29,30 304 332.00,130 097 380.29,88.91,88.94
16/Mar/2020,USD,4.12,30 304 332.00,125 003 690.50,85.43,85.45
13/Mar/2020,USD,4.56,26 049 082.00,118 842 168.73,94.48,94.51
12/Mar/2020,USD,4.30,26 049 082.00,112 074 776.94,89.10,89.13
11/Mar/2020,USD,4.77,25 640 691.00,122 230 062.09,98.73,98.76
10/Mar/2020,USD,4.96,25 640 691.00,127 116 923.60,102.67,102.71
09/Mar/2020,USD,4.81,25 259 395.00,121 610 899.44,99.71,99.75
06/Mar/2020,USD,5.18,25 259 395.00,130 959 486.49,107.37,107.41
05/Mar/2020,USD,5.29,25 259 395.00,133 602 445.13,109.54,109.59
04/Mar/2020,USD,5.41,25 259 395.00,136 703 191.02,112.08,112.12
03/Mar/2020,USD,5.26,25 259 395.00,132 840 564.93,108.92,108.95
02/Mar/2020,USD,5.34,25 259 395.00,134 977 996.98,110.67,110.71
28/Feb/2020,USD,5.17,25 259 395.00,130 602 959.93,107.08,107.11
27/Feb/2020,USD,5.25,25 259 395.00,132 643 050.38,108.75,108.79
26/Feb/2020,USD,5.45,25 412 544.00,138 421 928.62,112.81,112.84
25/Feb/2020,USD,5.47,25 412 544.00,139 069 774.68,113.34,113.37
24/Feb/2020,USD,5.62,25 412 544.00,142 819 114.94,116.39,116.44
21/Feb/2020,USD,5.79,25 514 641.00,147 838 317.88,120.00,120.05
20/Feb/2020,USD,5.84,25 514 641.00,148 999 448.61,120.94,120.99
19/Feb/2020,USD,5.87,25 814 641.00,151 413 663.61,121.47,121.52
18/Feb/2020,USD,5.84,25 865 691.00,151 027 415.93,120.92,120.97
17/Feb/2020,USD,5.86,25 865 691.00,151 635 527.06,121.41,121.46
14/Feb/2020,USD,5.86,25 865 691.00,151 684 728.08,121.45,121.49
13/Feb/2020,USD,5.86,25 865 691.00,151 563 319.14,121.35,121.39
12/Feb/2020,USD,5.87,24 115 691.00,141 571 706.07,121.58,121.62
11/Feb/2020,USD,5.84,24 115 691.00,140 731 196.86,120.86,120.90
10/Feb/2020,USD,5.82,24 115 691.00,140 260 031.11,120.45,120.50
07/Feb/2020,USD,5.79,24 115 691.00,139 730 376.12,120.00,120.05
06/Feb/2020,USD,5.82,24 115 691.00,140 397 670.38,120.57,120.62
05/Feb/2020,USD,5.79,24 115 691.00,139 704 289.54,119.98,120.03
